email_event_id,hubspot_contact_id,lead_id,event_datetime,event_type,campaign_id,email_name
HEM000001,HS103778,LED003778,2026-05-21T00:00:00,Clicked,,Webinar Invite
HEM000002,HS102841,LED002841,2025-04-30T08:00:00,Clicked,CMP000012,CRM Audit Offer
HEM000003,HS102149,LED002149,2025-08-24T20:00:00,Opened,CMP000028,Nurture 2 - Case Study
HEM000004,HS103345,LED003345,2026-04-12T10:00:00,Bounced,CMP000025,Post-Demo Follow Up
HEM000005,HS104095,LED004095,2025-03-19T05:00:00,Bounced,CMP000027,Post-Demo Follow Up
HEM000006,HS100920,LED000920,2026-01-17T10:00:00,Delivered,,Post-Demo Follow Up
HEM000007,,LED000447,2025-11-27T06:00:00,Bounced,CMP000031,CRM Audit Offer
HEM000008,HS102076,LED002076,2025-07-01T17:00:00,Clicked,CMP000034,Nurture 2 - Case Study
HEM000009,HS101815,LED001815,2025-06-20T19:00:00,Clicked,CMP000020,Quarterly Newsletter
HEM000010,HS101777,LED001777,2025-07-29T22:00:00,Delivered,CMP000022,Quarterly Newsletter
HEM000011,HS101874,LED001874,2026-05-14T22:00:00,Opened,CMP000029,Post-Demo Follow Up
HEM000012,HS101172,LED001172,2025-09-24T19:00:00,Delivered,CMP000033,Quarterly Newsletter
HEM000013,HS102716,LED002716,2025-12-24T07:00:00,Delivered,CMP000010,Nurture 1 - Pain Point
HEM000014,HS103011,LED003011,2025-02-23T14:00:00,Delivered,CMP000023,Post-Demo Follow Up
HEM000015,HS101173,LED001173,2026-01-21T19:00:00,Delivered,CMP000036,Post-Demo Follow Up
HEM000016,,LED003784,2026-06-21T17:00:00,Unsubscribed,CMP000013,Webinar Invite
HEM000017,HS101122,LED001122,2026-05-28T18:00:00,Bounced,CMP000004,CRM Audit Offer
HEM000018,,LED003809,2025-03-27T01:00:00,Clicked,CMP000018,Webinar Invite
HEM000019,HS101674,LED001674,2026-04-21T14:00:00,Delivered,CMP000003,CRM Audit Offer
HEM000020,,LED001362,2026-03-05T17:00:00,Opened,CMP000036,CRM Audit Offer
HEM000021,HS103883,LED003883,2025-09-24T18:00:00,Clicked,CMP000018,CRM Audit Offer
HEM000022,HS100671,LED000671,2026-04-22T17:00:00,Opened,,Webinar Invite
HEM000023,HS102953,LED002953,2026-06-28T00:00:00,Delivered,,Nurture 2 - Case Study
HEM000024,HS103704,LED003704,2025-03-23T13:00:00,Opened,CMP000008,Quarterly Newsletter
HEM000025,HS100969,LED000969,2025-02-01T00:00:00,Clicked,,Nurture 1 - Pain Point
HEM000026,HS101605,LED001605,2025-04-04T04:00:00,Delivered,,Webinar Invite
HEM000027,HS102302,LED002302,2026-06-26T22:00:00,Opened,CMP000003,Webinar Invite
HEM000028,HS100304,LED000304,2026-04-10T11:00:00,Delivered,CMP000003,Nurture 1 - Pain Point
HEM000029,HS100184,LED000184,2026-02-14T22:00:00,Delivered,CMP000019,Quarterly Newsletter
HEM000030,HS102865,LED002865,2026-04-18T12:00:00,Delivered,CMP000015,Nurture 1 - Pain Point
HEM000031,HS101567,LED001567,2026-02-26T14:00:00,Delivered,CMP000021,Post-Demo Follow Up
HEM000032,HS101818,LED001818,2026-04-27T23:00:00,Opened,CMP000033,Nurture 1 - Pain Point
HEM000033,HS102562,LED002562,2025-07-31T15:00:00,Delivered,CMP000019,Nurture 1 - Pain Point
