campaign_member_id,campaign_id,lead_id,contact_id,member_type,status,first_responded_date
CM000001,CMP000017,LED001744,,Lead,Opened,
CM000002,CMP000029,LED002197,,Lead,Clicked,2026-05-19
CM000003,CMP000025,LED001729,,Lead,Opened,
CM000004,CMP000012,LED003338,,Lead,Sent,
CM000005,CMP000016,LED000299,,Lead,Clicked,2026-02-08
CM000006,CMP000005,LED001838,,Lead,Sent,
CM000007,CMP000032,LED004017,,Lead,Opened,
CM000008,CMP000015,LED000352,,Lead,Attended,2025-08-08
CM000009,CMP000012,LED003316,,Lead,Sent,
CM000010,CMP000015,LED003316,,Lead,Opened,
CM000011,CMP000008,LED002459,,Lead,Sent,
CM000012,CMP000034,LED001030,,Lead,Sent,
CM000013,CMP000020,LED002320,,Lead,Attended,2026-03-24
CM000014,CMP000013,LED002320,,Lead,Attended,2025-11-15
CM000015,CMP000003,LED001478,,Lead,Sent,
CM000016,CMP000015,LED003774,,Lead,Attended,2025-09-21
CM000017,CMP000031,LED002903,,Lead,Opened,
CM000018,CMP000029,LED002293,,Lead,Sent,
CM000019,CMP000031,LED003572,,Lead,Converted,2026-01-12
CM000020,CMP000034,LED000498,,Lead,Sent,
CM000021,CMP000017,LED001996,,Lead,Clicked,2025-03-29
CM000022,CMP000009,LED000735,,Lead,Opened,
CM000023,CMP000024,LED003253,,Lead,Sent,
CM000024,CMP000028,LED003253,,Lead,Sent,
CM000025,CMP000012,LED001048,,Lead,Sent,
CM000026,CMP000035,LED001033,,Lead,Clicked,2025-09-04
CM000027,CMP000020,LED002654,,Lead,Opened,
CM000028,CMP000030,LED002461,,Lead,Clicked,2026-05-10
CM000029,CMP000006,LED003726,,Lead,Sent,
CM000030,CMP000032,LED002184,,Lead,Attended,2025-10-23
CM000031,CMP000023,LED001089,,Lead,Opened,
CM000032,CMP000003,LED000600,,Lead,Attended,2026-04-08
CM000033,CMP000014,LED002260,,Lead,Opened,
CM000034,CMP000025,LED000297,,Lead,Clicked,2025-08-02
CM000035,CMP000020,LED002592,,Lead,Sent,
CM000036,CMP000003,LED002777,,Lead,Attended,2026-05-26
CM000037,CMP000011,LED002777,,Lead,Opened,
CM000038,CMP000031,LED000315,,Lead,Sent,
CM000039,CMP000014,LED000839,,Lead,Attended,2025-01-23
CM000040,CMP000024,LED002064,,Lead,Converted,2025-10-29
CM000041,CMP000017,LED000795,,Lead,Sent,
CM000042,CMP000012,LED000795,,Lead,Sent,
CM000043,CMP000010,LED001019,,Lead,Attended,2026-01-08
CM000044,CMP000024,LED002329,,Lead,Opened,
CM000045,CMP000002,LED000752,,Lead,Sent,
CM000046,CMP000020,LED000752,,Lead,Opened,
CM000047,CMP000014,LED004105,,Lead,Sent,
CM000048,CMP000035,LED002541,,Lead,Sent,
CM000049,CMP000024,LED000812,,Lead,Converted,2025-08-22
CM000050,CMP000036,LED000812,,Lead,Clicked,2026-01-04
CM000051,CMP000012,LED000097,,Lead,Opened,
CM000052,CMP000003,LED001452,,Lead,Sent,
CM000053,CMP000025,LED000176,,Lead,Opened,
CM000054,CMP000028,LED002340,,Lead,Sent,
CM000055,CMP000001,LED002460,,Lead,Clicked,2025-12-25
CM000056,CMP000005,LED001158,,Lead,Attended,2025-03-28
CM000057,CMP000025,LED000762,,Lead,Opened,
CM000058,CMP000017,LED001784,,Lead,Attended,2025-04-19
CM000059,CMP000004,LED002578,,Lead,Sent,
CM000060,CMP000002,LED001042,,Lead,Opened,
CM000061,CMP000018,LED001042,,Lead,Clicked,2025-08-26
CM000062,CMP000020,LED003760,,Lead,Clicked,2026-04-04
CM000063,CMP000033,LED001534,,Lead,Sent,
CM000064,CMP000026,LED001534,,Lead,Attended,2026-03-12
CM000065,CMP000023,LED000145,,Lead,Sent,
CM000066,CMP000027,LED000110,,Lead,Converted,2026-08-11
CM000067,CMP000035,LED000110,,Lead,Sent,
CM000068,CMP000014,LED001510,,Lead,Attended,2025-01-12
CM000069,CMP000036,LED000866,,Lead,Opened,
CM000070,CMP000028,LED000866,,Lead,Sent,
CM000071,CMP000035,LED004048,,Lead,Attended,2025-09-09
CM000072,CMP000036,LED003787,,Lead,Sent,
CM000073,CMP000026,LED001422,,Lead,Attended,2026-02-17
CM000074,CMP000034,LED001422,,Lead,Sent,
CM000075,CMP000035,LED002495,,Lead,Opened,
CM000076,CMP000031,LED000595,,Lead,Sent,
CM000077,CMP000001,LED000595,,Lead,Attended,2026-01-19
CM000078,CMP000018,LED000694,,Lead,Attended,2025-06-21
CM000079,CMP000015,LED001955,,Lead,Opened,
CM000080,CMP000027,LED001946,,Lead,Opened,
CM000081,CMP000011,LED000791,,Lead,Sent,
CM000082,CMP000003,LED001968,,Lead,Opened,
CM000083,CMP000001,LED003101,,Lead,Opened,
CM000084,CMP000021,LED003101,,Lead,Clicked,2025-10-08
CM000085,CMP000010,LED003671,,Lead,Sent,
CM000086,CMP000003,LED003671,,Lead,Sent,
CM000087,CMP000005,LED004126,,Lead,Opened,
CM000088,CMP000016,LED002579,,Lead,Clicked,2026-02-16
CM000089,CMP000033,LED002579,,Lead,Sent,
CM000090,CMP000007,LED000085,,Lead,Opened,
CM000091,CMP000006,LED000085,,Lead,Opened,
CM000092,CMP000002,LED001062,,Lead,Attended,2025-04-18
CM000093,CMP000005,LED003747,,Lead,Opened,
CM000094,CMP000004,LED000433,,Lead,Sent,
CM000095,CMP000007,LED002631,,Lead,Opened,
CM000096,CMP000033,LED002631,,Lead,Opened,
CM000097,CMP000024,LED001599,,Lead,Attended,2025-10-20
