task_id,activity_date,owner_id,related_object_type,related_object_id,task_type,subject,status,outcome,duration_minutes,logged_in_system
TSK000001,2025-03-16,USR000013,Opportunity,OPP000737,Email,Email - Replied,Completed,Replied,30,HubSpot
TSK000002,2026-04-13,USR000020,Opportunity,OPP001608,Follow-up,Follow-up - Replied,Completed,Replied,5,Salesforce
TSK000003,2025-10-12,USR000020,Contact,CON003295,Internal Note,Internal Note - Completed,Completed,Completed,20,Gong
TSK000004,2025-12-20,USR000008,Lead,LED002315,Call,Call - Completed,Completed,Completed,20,Manual
TSK000005,2025-06-09,USR000025,Contact,CON001554,Call,Call - Rescheduled,Completed,Rescheduled,15,Salesforce
TSK000006,2026-02-18,USR000007,Contact,CON000344,Call,Call - Completed,Completed,Completed,30,HubSpot
TSK000007,2025-09-23,USR000027,Lead,LED003069,Email,Email - Clicked,Completed,Clicked,20,HubSpot
TSK000008,2025-12-02,USR000019,Opportunity,OPP001136,LinkedIn Touch,LinkedIn Touch - Replied,Completed,Replied,15,Salesforce
TSK000009,2026-01-25,USR000028,Lead,LED003645,Meeting,Meeting - No Show,Completed,No Show,5,Gong
TSK000010,2025-04-10,USR000008,Contact,CON001236,Internal Note,Internal Note - No Response,Completed,No Response,20,Manual
TSK000011,2025-03-13,USR000002,Lead,LED001079,Meeting,Meeting - No Show,Completed,No Show,20,Manual
TSK000012,2026-02-17,USR000016,Lead,LED003193,Email,Email - Sent,Open,Sent,5,HubSpot
TSK000013,2025-11-18,USR000019,Opportunity,OPP001064,Call,Call - Connected,Completed,Connected,20,Outreach
TSK000014,2026-03-19,USR000020,Lead,LED000005,Email,Email - Replied,Completed,Replied,10,Gong
TSK000015,2026-02-08,USR000017,Opportunity,OPP001231,Call,Call - Completed,Completed,Completed,10,Gong
TSK000016,2025-10-19,USR000015,Lead,LED002605,Email,Email - Replied,Completed,Replied,5,Gong
TSK000017,2025-04-16,USR000001,Lead,LED001253,Email,Email - Bounced,Completed,Bounced,15,Gong
TSK000018,2025-06-30,USR000023,Opportunity,OPP001106,Meeting,Meeting - Left Voicemail,Completed,Left Voicemail,10,Gong
TSK000019,2025-11-29,USR000010,Contact,CON002901,Meeting,Meeting - Left Voicemail,Completed,Left Voicemail,20,Gong
TSK000020,2025-07-28,USR000025,Contact,CON001888,Follow-up,Follow-up - Completed,Completed,Completed,60,Salesforce
TSK000021,2026-03-16,USR000018,Lead,LED002096,Demo,Demo - No Show,Completed,No Show,10,Manual
TSK000022,2025-02-02,USR000003,Contact,CON003309,LinkedIn Touch,LinkedIn Touch - No Response,Completed,No Response,20,Manual
TSK000023,2026-05-13,USR000004,Lead,LED002655,Email,Email - Sent,Completed,Sent,15,Gong
TSK000024,2026-03-15,USR000010,Lead,LED003961,Meeting,Meeting - No Show,Completed,No Show,30,Gong
TSK000025,2025-03-16,USR000027,Contact,CON001236,LinkedIn Touch,LinkedIn Touch - Completed,Completed,Completed,15,Outreach
TSK000026,2026-01-24,USR000022,Opportunity,OPP001620,Email,Email - Replied,Completed,Replied,5,Manual
TSK000027,2026-06-19,USR000013,Lead,LED003780,Follow-up,Follow-up - Pending,Completed,Pending,45,Manual
TSK000028,2025-01-17,USR000008,Lead,LED000998,Email,Email - Sent,Completed,Sent,60,Outreach
TSK000029,2025-02-05,USR000024,Lead,LED000587,LinkedIn Touch,LinkedIn Touch - Replied,Completed,Replied,20,Outreach
TSK000030,2026-05-13,USR000012,Opportunity,OPP001455,Call,Call - Completed,Completed,Completed,60,Outreach
TSK000031,2025-01-31,USR000004,Lead,LED000529,Call,Call - Connected,Completed,Connected,15,Outreach
TSK000032,2025-11-26,USR000027,Opportunity,OPP000460,Follow-up,Follow-up - Pending,Open,Pending,5,Salesforce
TSK000033,2025-11-17,USR000012,Opportunity,OPP001239,Follow-up,Follow-up - No Response,Completed,No Response,5,Salesforce
TSK000034,2025-11-05,USR000001,Contact,CON002278,Follow-up,Follow-up - Replied,Open,Replied,15,HubSpot
TSK000035,2025-06-26,USR000024,Contact,CON001354,Meeting,Meeting - Completed,Completed,Completed,10,Outreach
TSK000036,2025-09-13,USR000003,Lead,LED003346,Call,Call - Left Voicemail,Completed,Left Voicemail,15,Gong
TSK000037,2025-10-30,USR000018,Contact,CON001949,Email,Email - Replied,Completed,Replied,5,HubSpot
TSK000038,2025-09-26,USR000001,Lead,LED003264,Call,Call - Connected,Completed,Connected,20,Salesforce
TSK000039,2025-08-02,USR000017,Lead,LED002254,Meeting,Meeting - Left Voicemail,Completed,Left Voicemail,20,Manual
TSK000040,2025-04-18,USR000027,Lead,LED003929,Email,Email - Opened,Completed,Opened,15,Outreach
TSK000041,2026-02-01,USR000004,Contact,CON000557,Call,Call - Completed,Open,Completed,5,Manual
TSK000042,2025-08-02,USR000005,Contact,CON002642,Meeting,Meeting - Left Voicemail,Completed,Left Voicemail,5,HubSpot
TSK000043,2025-03-26,USR000021,Opportunity,OPP000006,Call,Call - Connected,Completed,Connected,30,Gong
TSK000044,2025-01-08,USR000016,Lead,LED001448,Meeting,Meeting - Connected,Open,Connected,5,Gong
TSK000045,2025-06-05,USR000002,Lead,LED002882,Call,Call - Connected,Completed,Connected,15,Outreach
TSK000046,2025-10-20,USR000022,Lead,LED003869,Call,Call - Left Voicemail,Completed,Left Voicemail,20,HubSpot
TSK000047,2025-03-05,USR000016,Opportunity,OPP001407,Meeting,Meeting - Connected,Completed,Connected,5,HubSpot
TSK000048,2025-02-24,USR000020,Contact,CON001673,Meeting,Meeting - No Show,Completed,No Show,5,Manual
TSK000049,2026-03-18,USR000028,Lead,LED001501,LinkedIn Touch,LinkedIn Touch - Replied,Completed,Replied,15,Salesforce
TSK000050,2026-03-06,USR000017,Lead,LED002158,Meeting,Meeting - No Show,Completed,No Show,15,Manual
TSK000051,2026-03-21,USR000025,Lead,LED001774,Email,Email - Sent,Completed,Sent,10,Manual
TSK000052,2025-10-16,USR000021,Lead,LED001069,Meeting,Meeting - Completed,Completed,Completed,15,Gong
TSK000053,2025-10-10,USR000014,Contact,CON002458,Email,Email - Opened,Completed,Opened,30,Outreach
TSK000054,2025-09-07,USR000001,Contact,CON002568,Internal Note,Internal Note - Completed,Completed,Completed,10,HubSpot
TSK000055,2026-04-21,USR000023,Opportunity,OPP001206,Call,Call - Connected,Open,Connected,15,Gong
TSK000056,2026-01-01,USR000007,Lead,LED000002,Call,Call - No Show,Completed,No Show,5,Outreach
TSK000057,2026-01-28,USR000013,Contact,CON000076,Call,Call - Connected,Open,Connected,20,Salesforce
TSK000058,2025-08-24,USR000013,Contact,CON001947,LinkedIn Touch,LinkedIn Touch - No Response,Completed,No Response,10,Gong
TSK000059,2025-04-23,USR000024,Contact,CON000779,LinkedIn Touch,LinkedIn Touch - No Response,Open,No Response,45,Manual
TSK000060,2025-08-05,USR000006,Opportunity,OPP000731,Call,Call - No Show,Completed,No Show,15,Salesforce
TSK000061,2026-04-18,USR000013,Contact,CON000950,Follow-up,Follow-up - Replied,Completed,Replied,20,HubSpot
TSK000062,2025-07-18,USR000004,Lead,LED003880,Email,Email - Opened,Completed,Opened,45,Outreach
TSK000063,2025-07-13,USR000007,Lead,LED002259,Meeting,Meeting - Left Voicemail,Completed,Left Voicemail,20,HubSpot
TSK000064,2025-04-22,USR000004,Lead,LED003072,Meeting,Meeting - Rescheduled,Completed,Rescheduled,5,Manual
TSK000065,2025-07-27,USR000006,Lead,LED001938,Call,Call - No Show,Open,No Show,10,Manual
TSK000066,2026-02-28,USR000009,Lead,LED001123,Email,Email - Replied,Completed,Replied,15,HubSpot
TSK000067,2025-09-14,USR000017,Lead,LED002243,Follow-up,Follow-up - Replied,Completed,Replied,10,Salesforce
TSK000068,2026-01-01,USR000006,Lead,LED000590,Email,Email - Opened,Completed,Opened,30,Salesforce
TSK000069,2025-08-18,USR000015,Contact,CON001289,Email,Email - Sent,Completed,Sent,15,Salesforce
TSK000070,2025-09-21,USR000018,Opportunity,OPP001118,Call,Call - Left Voicemail,Completed,Left Voicemail,10,Salesforce
TSK000071,2026-06-17,USR000002,Contact,CON002133,Email,Email - Sent,Completed,Sent,5,Manual
TSK000072,2025-12-04,USR000007,Contact,CON000875,Email,Email - Opened,Completed,Opened,15,Manual
TSK000073,2025-08-17,USR000014,Contact,CON000943,Follow-up,Follow-up - Completed,Completed,Completed,10,Manual
TSK000074,2025-12-08,USR000017,Contact,CON001414,Follow-up,Follow-up - Pending,Completed,Pending,10,HubSpot
TSK000075,2026-04-25,USR000021,Contact,CON002372,Email,Email - Clicked,Completed,Clicked,20,Manual
TSK000076,2025-09-26,USR000015,Opportunity,OPP000402,Call,Call - Rescheduled,Completed,Rescheduled,10,HubSpot
TSK000077,2025-11-18,USR000006,Lead,LED003241,Follow-up,Follow-up - Replied,Completed,Replied,60,Manual
TSK000078,2026-02-04,USR000028,Opportunity,OPP001040,Email,Email - Opened,Completed,Opened,5,Salesforce
TSK000079,2025-08-15,USR000006,Lead,LED002806,Email,Email - Bounced,Open,Bounced,10,Manual
TSK000080,2025-12-25,USR000001,Contact,CON002550,Call,Call - Completed,Completed,Completed,30,HubSpot
TSK000081,2025-09-05,USR000028,Lead,LED002264,Follow-up,Follow-up - No Response,Completed,No Response,30,Gong
TSK000082,2025-05-21,USR000010,Lead,LED000300,Email,Email - Sent,Completed,Sent,10,Outreach
TSK000083,2025-06-16,USR000017,Opportunity,OPP000805,Email,Email - Opened,Open,Opened,5,Manual
TSK000084,2026-03-02,USR000020,Contact,CON002437,Meeting,Meeting - Connected,Completed,Connected,30,Manual
TSK000085,2025-11-26,USR000002,Contact,CON002465,Meeting,Meeting - Completed,Open,Completed,15,Outreach
TSK000086,2025-03-13,USR000018,Contact,CON000799,Email,Email - Clicked,Completed,Clicked,30,Salesforce
TSK000087,2026-05-02,USR000020,Lead,LED001637,Call,Call - Left Voicemail,Completed,Left Voicemail,30,Manual
TSK000088,2026-06-07,USR000001,Lead,LED004025,Email,Email - Replied,Completed,Replied,10,Manual
TSK000089,2025-10-26,USR000023,Contact,CON000198,LinkedIn Touch,LinkedIn Touch - Completed,Completed,Completed,5,Salesforce
TSK000090,2025-04-12,USR000016,Lead,LED001930,Email,Email - Sent,Completed,Sent,5,Salesforce
TSK000091,2025-10-12,USR000002,Lead,LED000586,Call,Call - Completed,Completed,Completed,5,Salesforce
TSK000092,2025-02-25,USR000001,Lead,LED004025,Email,Email - Clicked,Completed,Clicked,30,HubSpot
TSK000093,2025-04-24,USR000027,Lead,LED003386,Follow-up,Follow-up - No Response,Completed,No Response,60,Manual
TSK000094,2025-10-27,USR000002,Lead,LED001160,Call,Call - Completed,Open,Completed,15,Outreach
TSK000095,2026-02-14,USR000005,Lead,LED000489,Call,Call - No Show,Completed,No Show,30,Gong
TSK000096,2025-09-20,USR000019,Contact,CON001079,Internal Note,Internal Note - No Response,Completed,No Response,10,Manual
TSK000097,2025-05-23,USR000004,Contact,CON000623,Email,Email - Sent,Completed,Sent,15,Gong
TSK000098,2025-09-13,USR000020,Contact,CON001639,Email,Email - Opened,Completed,Opened,15,Outreach
TSK000099,2025-02-03,USR000022,Opportunity,OPP001411,LinkedIn Touch,LinkedIn Touch - No Response,Completed,No Response,15,Outreach
TSK000100,2025-03-30,USR000025,Contact,CON002509,Email,Email - Opened,Completed,Opened,15,Gong
TSK000101,2026-03-23,USR000013,Opportunity,OPP000318,Demo,Demo - Left Voicemail,Completed,Left Voicemail,10,Salesforce
TSK000102,2025-10-20,USR000027,Opportunity,OPP001202,Email,Email - Sent,Completed,Sent,15,Salesforce
TSK000103,2026-03-28,USR000012,Lead,LED000001,Call,Call - No Show,Completed,No Show,5,Manual
TSK000104,2025-08-06,USR000002,Contact,CON003443,Meeting,Meeting - Completed,Completed,Completed,20,HubSpot
TSK000105,2026-04-01,USR000007,Lead,LED004106,Email,Email - Sent,Completed,Sent,45,Gong
TSK000106,2025-08-12,USR000027,Contact,CON000785,Email,Email - Sent,Completed,Sent,45,Manual
TSK000107,2025-06-27,USR000028,Lead,LED001462,Email,Email - Sent,Completed,Sent,10,Outreach
TSK000108,2025-12-18,USR000001,Opportunity,OPP000897,Email,Email - Bounced,Open,Bounced,15,Gong
TSK000109,2026-01-10,USR000016,Contact,CON000273,Meeting,Meeting - Rescheduled,Completed,Rescheduled,5,HubSpot
TSK000110,2025-04-26,USR000014,Lead,LED002626,Follow-up,Follow-up - Pending,Completed,Pending,15,Gong
TSK000111,2025-04-18,USR000022,Lead,LED001011,Email,Email - Sent,Completed,Sent,20,Salesforce
TSK000112,2026-01-09,USR000012,Opportunity,OPP000421,Call,Call - Connected,Completed,Connected,10,Manual
TSK000113,2025-07-05,USR000001,Contact,CON003089,Email,Email - Sent,Completed,Sent,10,Salesforce
TSK000114,2026-06-09,USR000001,Lead,LED003201,Call,Call - Left Voicemail,Completed,Left Voicemail,10,Manual
TSK000115,2026-01-21,USR000017,Lead,LED002571,Email,Email - Replied,Completed,Replied,10,Salesforce
TSK000116,2025-12-14,USR000005,Lead,LED002052,Call,Call - Connected,Completed,Connected,15,Gong
TSK000117,2025-06-13,USR000021,Lead,LED001216,Follow-up,Follow-up - Replied,Completed,Replied,5,Gong
TSK000118,2025-01-26,USR000014,Contact,CON000432,Internal Note,Internal Note - Pending,Completed,Pending,5,Salesforce
TSK000119,2025-04-23,USR000025,Opportunity,OPP000779,Email,Email - Clicked,Completed,Clicked,20,HubSpot
TSK000120,2025-11-27,USR000016,Contact,CON000875,Call,Call - Connected,Completed,Connected,60,HubSpot
TSK000121,2025-07-20,USR000010,Contact,CON003479,LinkedIn Touch,LinkedIn Touch - Pending,Completed,Pending,20,HubSpot
TSK000122,2026-05-25,USR000017,Lead,LED001246,Email,Email - Sent,Completed,Sent,10,Salesforce
TSK000123,2025-03-06,USR000006,Contact,CON002232,Email,Email - Opened,Completed,Opened,60,HubSpot
