sync_error_id,created_date,source_system,target_system,object_type,object_id,error_type,severity,status,days_to_resolve
SYN000001,2025-01-06,Salesforce,HubSpot,Lead,LED003748,Required Field Missing,Medium,Resolved,3.0
SYN000002,2025-01-02,Salesforce,HubSpot,Lead,LED001377,Required Field Missing,High,Open,
SYN000003,2025-07-12,Salesforce,HubSpot,Lead,LED002334,Required Field Missing,High,Resolved,5.0
SYN000004,2026-05-13,Salesforce,HubSpot,Lead,LED000575,Required Field Missing,Medium,Open,
SYN000005,2025-02-18,Salesforce,HubSpot,Lead,LED002209,Required Field Missing,Medium,Open,
SYN000006,2026-06-11,Salesforce,HubSpot,Lead,LED001386,Required Field Missing,High,Ignored,
SYN000007,2026-06-14,Salesforce,HubSpot,Lead,LED004153,Required Field Missing,High,Open,
SYN000008,2025-05-14,Salesforce,HubSpot,Lead,LED001010,Required Field Missing,High,Open,
SYN000009,2025-04-28,Salesforce,HubSpot,Lead,LED004053,Required Field Missing,Medium,Open,
SYN000010,2026-01-05,Salesforce,HubSpot,Lead,LED001270,Required Field Missing,High,Open,
SYN000011,2026-04-22,Salesforce,HubSpot,Lead,LED000495,Required Field Missing,High,Resolved,14.0
SYN000012,2025-07-09,Salesforce,HubSpot,Lead,LED003347,Required Field Missing,Medium,Resolved,5.0
SYN000013,2025-03-16,Salesforce,HubSpot,Lead,LED001085,Required Field Missing,Medium,Resolved,3.0
SYN000014,2026-04-18,Salesforce,HubSpot,Lead,LED003949,Required Field Missing,Medium,Resolved,1.0
SYN000015,2025-09-04,Salesforce,HubSpot,Lead,LED003677,Required Field Missing,High,Open,
SYN000016,2025-09-03,Salesforce,HubSpot,Lead,LED003602,Required Field Missing,High,Open,
SYN000017,2026-03-06,Salesforce,HubSpot,Lead,LED002368,Required Field Missing,Medium,Open,
SYN000018,2025-05-17,Salesforce,HubSpot,Lead,LED000049,Required Field Missing,High,Resolved,2.0
SYN000019,2025-12-21,Salesforce,HubSpot,Lead,LED000942,Required Field Missing,High,Resolved,10.0
SYN000020,2026-01-17,Salesforce,HubSpot,Lead,LED001004,Required Field Missing,High,Resolved,5.0
SYN000021,2025-01-11,Salesforce,HubSpot,Lead,LED000168,Required Field Missing,High,Resolved,3.0
SYN000022,2026-05-15,Salesforce,HubSpot,Lead,LED000437,Required Field Missing,High,Resolved,1.0
SYN000023,2025-06-10,Salesforce,HubSpot,Lead,LED001077,Required Field Missing,High,Resolved,5.0
SYN000024,2025-08-16,Salesforce,HubSpot,Lead,LED001057,Required Field Missing,Medium,Resolved,1.0
SYN000025,2025-06-13,Salesforce,HubSpot,Lead,LED004146,Required Field Missing,Medium,Resolved,3.0
SYN000026,2025-07-29,Salesforce,HubSpot,Lead,LED000862,Required Field Missing,Medium,Open,
SYN000027,2025-02-26,Salesforce,HubSpot,Lead,LED003302,Required Field Missing,Medium,Resolved,3.0
SYN000028,2025-06-10,Salesforce,HubSpot,Lead,LED001485,Required Field Missing,Medium,Resolved,5.0
SYN000029,2025-04-03,Salesforce,HubSpot,Lead,LED000726,Required Field Missing,Medium,Ignored,
SYN000030,2025-01-18,Salesforce,HubSpot,Lead,LED001921,Required Field Missing,High,Resolved,2.0
SYN000031,2026-02-10,Salesforce,HubSpot,Lead,LED002578,Required Field Missing,High,Resolved,1.0
SYN000032,2025-06-21,Salesforce,HubSpot,Lead,LED000536,Required Field Missing,Medium,Ignored,
SYN000033,2026-05-18,Salesforce,HubSpot,Lead,LED003156,Required Field Missing,High,Resolved,7.0
SYN000034,2026-04-08,Salesforce,HubSpot,Lead,LED003752,Required Field Missing,Medium,Ignored,
SYN000035,2025-09-10,Salesforce,HubSpot,Lead,LED002862,Required Field Missing,High,Ignored,
SYN000036,2026-02-27,Salesforce,HubSpot,Lead,LED001938,Required Field Missing,Medium,Resolved,7.0
SYN000037,2025-03-01,Salesforce,HubSpot,Lead,LED003221,Required Field Missing,High,Ignored,
SYN000038,2026-04-08,Salesforce,HubSpot,Lead,LED002095,Required Field Missing,High,Open,
SYN000039,2025-01-05,Salesforce,HubSpot,Lead,LED002099,Required Field Missing,Medium,Resolved,7.0
SYN000040,2025-08-02,Salesforce,HubSpot,Lead,LED000365,Required Field Missing,Medium,Resolved,5.0
SYN000041,2025-02-07,Salesforce,HubSpot,Lead,LED003839,Required Field Missing,High,Open,
SYN000042,2025-03-09,Salesforce,HubSpot,Lead,LED004005,Required Field Missing,Medium,Open,
SYN000043,2026-04-16,Salesforce,HubSpot,Lead,LED002068,Required Field Missing,Medium,Open,
SYN000044,2025-04-25,Salesforce,HubSpot,Lead,LED000618,Required Field Missing,High,Resolved,2.0
SYN000045,2026-02-15,Salesforce,HubSpot,Lead,LED002556,Required Field Missing,Medium,Open,
SYN000046,2025-09-06,Salesforce,HubSpot,Lead,LED001601,Required Field Missing,High,Open,
SYN000047,2026-03-10,Salesforce,HubSpot,Lead,LED000995,Required Field Missing,High,Resolved,5.0
SYN000048,2025-10-29,Salesforce,HubSpot,Lead,LED001865,Required Field Missing,Medium,Resolved,5.0
SYN000049,2026-04-20,Salesforce,HubSpot,Lead,LED002308,Required Field Missing,Medium,Ignored,
SYN000050,2025-06-07,Salesforce,HubSpot,Lead,LED002029,Required Field Missing,High,Resolved,2.0
SYN000051,2025-09-26,Salesforce,HubSpot,Lead,LED000550,Required Field Missing,Medium,Resolved,5.0
SYN000052,2025-07-19,Salesforce,HubSpot,Lead,LED003622,Required Field Missing,Medium,Open,
SYN000053,2025-10-29,Salesforce,HubSpot,Lead,LED001340,Required Field Missing,Medium,Resolved,10.0
SYN000054,2025-03-28,Salesforce,HubSpot,Lead,LED001575,Required Field Missing,High,Open,
SYN000055,2025-09-11,Salesforce,HubSpot,Lead,LED004056,Required Field Missing,High,Resolved,2.0
SYN000056,2025-12-15,Salesforce,HubSpot,Lead,LED003239,Required Field Missing,High,Resolved,7.0
SYN000057,2025-10-27,Salesforce,HubSpot,Lead,LED000238,Required Field Missing,Medium,Open,
SYN000058,2025-02-08,Salesforce,HubSpot,Lead,LED003647,Required Field Missing,Medium,Resolved,10.0
SYN000059,2025-03-11,Salesforce,HubSpot,Lead,LED000966,Required Field Missing,Medium,Resolved,2.0
SYN000060,2025-08-26,Salesforce,HubSpot,Lead,LED000135,Required Field Missing,High,Resolved,2.0
SYN000061,2026-02-28,Salesforce,HubSpot,Lead,LED003784,Required Field Missing,High,Resolved,7.0
SYN000062,2025-10-14,Salesforce,HubSpot,Lead,LED001306,Required Field Missing,Medium,Resolved,14.0
SYN000063,2025-04-19,Salesforce,HubSpot,Lead,LED002448,Required Field Missing,Medium,Resolved,1.0
SYN000064,2025-05-27,Salesforce,HubSpot,Lead,LED001048,Required Field Missing,High,Open,
SYN000065,2025-09-22,Salesforce,HubSpot,Lead,LED002145,Required Field Missing,High,Open,
SYN000066,2026-01-23,Salesforce,HubSpot,Lead,LED003175,Required Field Missing,Medium,Resolved,14.0
SYN000067,2025-11-08,Salesforce,HubSpot,Lead,LED002012,Required Field Missing,High,Resolved,7.0
SYN000068,2026-03-14,Salesforce,HubSpot,Lead,LED002984,Required Field Missing,High,Open,
SYN000069,2025-11-13,Salesforce,HubSpot,Lead,LED002055,Required Field Missing,High,Open,
SYN000070,2026-01-15,Salesforce,HubSpot,Lead,LED003955,Required Field Missing,High,Resolved,3.0
SYN000071,2026-05-31,Salesforce,HubSpot,Lead,LED002822,Required Field Missing,Medium,Resolved,1.0
SYN000072,2025-03-12,Salesforce,HubSpot,Lead,LED003226,Required Field Missing,Medium,Open,
SYN000073,2025-12-24,Salesforce,HubSpot,Lead,LED000915,Required Field Missing,Medium,Resolved,3.0
SYN000074,2025-04-21,Salesforce,HubSpot,Lead,LED001794,Required Field Missing,Medium,Resolved,5.0
SYN000075,2025-10-14,Salesforce,HubSpot,Lead,LED004038,Required Field Missing,Medium,Open,
SYN000076,2025-10-21,Salesforce,HubSpot,Lead,LED001515,Required Field Missing,High,Resolved,1.0
SYN000077,2025-04-04,Salesforce,HubSpot,Lead,LED003198,Required Field Missing,High,Open,
SYN000078,2025-08-13,Salesforce,HubSpot,Lead,LED002016,Required Field Missing,High,Ignored,
SYN000079,2025-08-21,Salesforce,HubSpot,Lead,LED001673,Required Field Missing,Medium,Open,
SYN000080,2026-03-16,Salesforce,HubSpot,Lead,LED001554,Required Field Missing,High,Open,
SYN000081,2025-09-19,Salesforce,HubSpot,Lead,LED002430,Required Field Missing,Medium,Resolved,3.0
