External Campaign Member ID,External Campaign ID,External Lead ID,External Contact ID,Member Type,Status,First Responded Date
CM000007,CMP000032,LED004017,,Lead,Opened,
CM000011,CMP000008,LED002459,,Lead,Sent,
CM000015,CMP000003,LED001478,,Lead,Sent,
CM000031,CMP000023,LED001089,,Lead,Opened,
CM000032,CMP000003,LED000600,,Lead,Attended,2026-04-08
CM000039,CMP000014,LED000839,,Lead,Attended,2025-01-23
CM000045,CMP000002,LED000752,,Lead,Sent,
CM000046,CMP000020,LED000752,,Lead,Opened,
CM000048,CMP000035,LED002541,,Lead,Sent,
CM000057,CMP000025,LED000762,,Lead,Opened,
CM000063,CMP000033,LED001534,,Lead,Sent,
CM000064,CMP000026,LED001534,,Lead,Attended,2026-03-12
CM000068,CMP000014,LED001510,,Lead,Attended,2025-01-12
CM000069,CMP000036,LED000866,,Lead,Opened,
CM000070,CMP000028,LED000866,,Lead,Sent,
CM000071,CMP000035,LED004048,,Lead,Attended,2025-09-09
CM000073,CMP000026,LED001422,,Lead,Attended,2026-02-17
CM000074,CMP000034,LED001422,,Lead,Sent,
CM000082,CMP000003,LED001968,,Lead,Opened,
CM000083,CMP000001,LED003101,,Lead,Opened,
CM000084,CMP000021,LED003101,,Lead,Clicked,2025-10-08
CM000085,CMP000010,LED003671,,Lead,Sent,
CM000086,CMP000003,LED003671,,Lead,Sent,
CM000087,CMP000005,LED004126,,Lead,Opened,
CM000092,CMP000002,LED001062,,Lead,Attended,2025-04-18
CM000094,CMP000004,LED000433,,Lead,Sent,
CM000095,CMP000007,LED002631,,Lead,Opened,
CM000096,CMP000033,LED002631,,Lead,Opened,
CM000098,CMP000034,LED001211,,Lead,Opened,
CM000099,CMP000008,LED001211,,Lead,Clicked,2025-10-08
CM000102,CMP000022,LED000180,,Lead,Attended,2026-05-25
CM000106,CMP000005,LED000221,,Lead,Attended,2025-04-29
CM000107,CMP000005,LED000221,,Lead,Sent,
CM000115,CMP000001,LED000189,,Lead,Sent,
CM000116,CMP000008,LED000189,,Lead,Sent,
CM000134,CMP000013,LED001611,,Lead,Opened,
CM000136,CMP000005,LED002379,,Lead,Attended,2025-05-07
CM000140,CMP000031,LED003954,,Lead,Sent,
CM000156,CMP000017,LED000372,,Lead,Attended,2025-03-24
CM000157,CMP000006,LED002583,,Lead,Converted,2026-05-22
CM000158,CMP000025,LED002583,,Lead,Clicked,2025-07-18
CM000167,CMP000034,LED000009,,Lead,Sent,
CM000170,CMP000024,LED000150,,Lead,Sent,
CM000177,CMP000028,LED000271,,Lead,Attended,2026-07-21
CM000178,CMP000010,LED000271,,Lead,Attended,2025-12-06
CM000180,CMP000033,LED002535,,Lead,Attended,2026-01-03
CM000186,CMP000001,LED000206,,Lead,Sent,
CM000188,CMP000034,LED000458,,Lead,Opened,
CM000197,CMP000026,LED002045,,Lead,Opened,
