External Task ID,Activity Date,Owner External ID,Related Object Type,Related Object External ID,Task Type,Subject,Status,Outcome,Duration Minutes,Logged In System
TSK002965,2025-09-09,USR000018,Lead,LED003245,Email,Email - Opened,Completed,Opened,10,Outreach
TSK011956,2026-05-19,USR000022,Contact,CON001059,Email,Email - Replied,Completed,Replied,15,HubSpot
TSK003502,2025-01-28,USR000015,Lead,LED000108,Email,Email - Sent,Open,Sent,10,Manual
TSK010599,2025-02-10,USR000013,Contact,CON000003,Email,Email - Clicked,Completed,Clicked,15,Manual
TSK004332,2025-05-30,USR000013,Lead,LED001874,LinkedIn Touch,LinkedIn Touch - Completed,Completed,Completed,5,Gong
TSK006620,2025-04-29,USR000010,Opportunity,OPP001629,LinkedIn Touch,LinkedIn Touch - Completed,Completed,Completed,5,Outreach
TSK000149,2025-02-16,USR000013,Opportunity,OPP000205,Email,Email - Opened,Completed,Opened,30,Salesforce
TSK003191,2026-04-07,USR000003,Contact,CON000328,Demo,Demo - Connected,Completed,Connected,5,Outreach
TSK009589,2025-08-01,USR000028,Opportunity,OPP000119,Call,Call - Completed,Completed,Completed,20,HubSpot
TSK000991,2025-01-17,USR000017,Contact,CON000461,LinkedIn Touch,LinkedIn Touch - Pending,Completed,Pending,20,Outreach
TSK008162,2025-01-29,USR000005,Contact,CON001147,Meeting,Meeting - Connected,Completed,Connected,20,Gong
TSK002040,2025-06-06,USR000021,Lead,LED003260,Email,Email - Clicked,Completed,Clicked,15,Gong
TSK005182,2025-08-07,USR000014,Lead,LED001403,Email,Email - Sent,Completed,Sent,30,Manual
TSK002358,2025-08-21,USR000012,Lead,LED000944,Email,Email - Opened,Completed,Opened,5,HubSpot
TSK013903,2026-03-20,USR000019,Lead,LED000730,Meeting,Meeting - Connected,Completed,Connected,5,Gong
TSK004886,2025-07-15,USR000013,Lead,LED003867,Internal Note,Internal Note - No Response,Open,No Response,15,HubSpot
TSK001988,2026-06-16,USR000021,Contact,CON001929,Call,Call - Rescheduled,Completed,Rescheduled,30,Outreach
TSK005015,2025-06-06,USR000023,Contact,CON000744,Call,Call - Left Voicemail,Open,Left Voicemail,45,Gong
TSK011248,2025-01-16,USR000019,Lead,LED000206,Call,Call - Completed,Completed,Completed,60,Manual
